date,price,company,sector
2019-12-31,157.7,MSFT,technology
2019-12-30,157.59,MSFT,technology
2019-12-27,158.96,MSFT,technology
2019-12-26,158.67,MSFT,technology
2019-12-24,157.38,MSFT,technology
2019-12-23,157.41,MSFT,technology
2019-12-20,157.41,MSFT,technology
2019-12-19,155.71,MSFT,technology
2019-12-18,154.37,MSFT,technology
2019-12-17,154.69,MSFT,technology
2019-12-16,155.53,MSFT,technology
2019-12-13,154.53,MSFT,technology
2019-12-12,153.24,MSFT,technology
2019-11-12,151.7,MSFT,technology
2019-10-12,151.13,MSFT,technology
2019-09-12,151.36,MSFT,technology
2019-06-12,151.75,MSFT,technology
2019-05-12,149.93,MSFT,technology
2019-04-12,149.85,MSFT,technology
2019-03-12,149.31,MSFT,technology
2019-02-12,149.55,MSFT,technology
2019-11-29,151.38,MSFT,technology
2019-11-27,152.32,MSFT,technology
2019-11-26,152.03,MSFT,technology
2019-11-25,151.23,MSFT,technology
2019-11-22,149.59,MSFT,technology
2019-11-21,149.48,MSFT,technology
2019-11-20,149.62,MSFT,technology
2019-11-19,150.39,MSFT,technology
2019-11-18,150.34,MSFT,technology
2019-11-15,149.97,MSFT,technology
2019-11-14,148.06,MSFT,technology
2019-11-13,147.31,MSFT,technology
2019-12-11,147.07,MSFT,technology
2019-11-11,146.11,MSFT,technology
2019-08-11,145.96,MSFT,technology
2019-07-11,144.26,MSFT,technology
2019-06-11,144.06,MSFT,technology
2019-05-11,144.46,MSFT,technology
2019-04-11,144.55,MSFT,technology
2019-01-11,143.72,MSFT,technology
2019-10-31,143.37,MSFT,technology
2019-10-30,144.61,MSFT,technology
2019-10-29,142.83,MSFT,technology
2019-10-28,144.19,MSFT,technology
2019-10-25,140.73,MSFT,technology
2019-10-24,139.94,MSFT,technology
2019-10-23,137.24,MSFT,technology
2019-10-22,136.37,MSFT,technology
2019-10-21,138.43,MSFT,technology
2019-10-18,137.41,MSFT,technology
2019-10-17,139.69,MSFT,technology
2019-10-16,140.41,MSFT,technology
2019-10-15,141.57,MSFT,technology
2019-10-14,139.55,MSFT,technology
2019-11-10,139.68,MSFT,technology
2019-10-10,139.1,MSFT,technology
2019-09-10,138.24,MSFT,technology
2019-08-10,135.67,MSFT,technology
2019-07-10,137.12,MSFT,technology
2019-04-10,138.12,MSFT,technology
2019-03-10,136.28,MSFT,technology
2019-02-10,134.65,MSFT,technology
2019-01-10,137.07,MSFT,technology
2019-09-30,139.03,MSFT,technology
2019-09-27,137.73,MSFT,technology
2019-09-26,139.54,MSFT,technology
2019-09-25,139.36,MSFT,technology
2019-09-24,137.38,MSFT,technology
2019-09-23,139.14,MSFT,technology
2019-09-20,139.44,MSFT,technology
2019-09-19,141.07,MSFT,technology
2019-09-18,138.52,MSFT,technology
2019-09-17,137.39,MSFT,technology
2019-09-16,136.33,MSFT,technology
2019-09-13,137.32,MSFT,technology
2019-12-09,137.52,MSFT,technology
2019-11-09,136.12,MSFT,technology
2019-10-09,136.08,MSFT,technology
2019-09-09,137.52,MSFT,technology
2019-06-09,139.1,MSFT,technology
2019-05-09,140.05,MSFT,technology
2019-04-09,137.63,MSFT,technology
2019-03-09,136.04,MSFT,technology
2019-08-30,137.86,MSFT,technology
2019-08-29,138.12,MSFT,technology
2019-08-28,135.56,MSFT,technology
2019-08-27,135.74,MSFT,technology
2019-08-26,135.45,MSFT,technology
2019-08-23,133.39,MSFT,technology
2019-08-22,137.78,MSFT,technology
2019-08-21,138.79,MSFT,technology
2019-08-20,137.26,MSFT,technology
2019-08-19,138.41,MSFT,technology
2019-08-16,136.13,MSFT,technology
2019-08-15,133.68,MSFT,technology
2019-08-14,133.98,MSFT,technology
2019-08-13,138.6,MSFT,technology
2019-12-08,135.79,MSFT,technology
2019-09-08,137.71,MSFT,technology
2019-08-08,138.89,MSFT,technology
2019-07-08,135.28,MSFT,technology
2019-06-08,134.69,MSFT,technology
2019-05-08,132.21,MSFT,technology
2019-02-08,136.9,MSFT,technology
2019-01-08,138.06,MSFT,technology
2019-07-31,136.27,MSFT,technology
2019-07-30,140.35,MSFT,technology
2019-07-29,141.03,MSFT,technology
2019-07-26,141.34,MSFT,technology
2019-07-25,140.19,MSFT,technology
2019-07-24,140.72,MSFT,technology
2019-07-23,139.29,MSFT,technology
2019-07-22,138.43,MSFT,technology
2019-07-19,136.62,MSFT,technology
2019-07-18,136.42,MSFT,technology
2019-07-17,136.27,MSFT,technology
2019-07-16,137.08,MSFT,technology
2019-07-15,138.9,MSFT,technology
2019-12-07,138.9,MSFT,technology
2019-11-07,138.4,MSFT,technology
2019-10-07,137.85,MSFT,technology
2019-09-07,136.46,MSFT,technology
2019-08-07,136.96,MSFT,technology
2019-05-07,137.06,MSFT,technology
2019-03-07,137.46,MSFT,technology
2019-02-07,136.58,MSFT,technology
